   26.530001              38  0.19998001             887  3.00000003E-03  0.20298001    
   21795.131              38  0.20298001             706  3.00000003E-03  0.20598002    
   2347597.5              38  0.20598002              41  0.15810999      0.36409003    
   3891017.0              38  0.36409003              48  0.21394001      0.57803005    
   4108542.8              38  0.57803005             213  3.00000003E-03  0.58103007    
   6430694.5              38  0.58103007             881  3.00000003E-03  0.58403009    
   17174986.              38  0.58403009              37  0.21596003      0.79999012    
   21589574.              38  0.79999012             234  3.00000003E-03  0.80299014    
   38983028.              38  0.80299014             292  3.00000003E-03  0.80599016    
   58580824.              38  0.80599016             194  6.00000005E-03  0.81199014    
   77746960.              38  0.81199014              35  0.25506002       1.0670502    
  1.23378648E+08          38   1.0670502             155  8.99999961E-03   1.0760502    
